Year of Birth,Gender,Ethnicity,name
2011,MALE,WHITE NON HISPANIC,JORDAN
2013,MALE,BLACK NON HISPANIC,Avery
2016,MALE,HISPANIC,Alexis
2015,MALE,HISPANIC,Dylan
2014,FEMALE,WHITE NON HISPANIC,Alexis
2014,MALE,WHITE NON HISPANIC,Shea
2013,FEMALE,WHITE NON HISPANIC,Quinn
2013,MALE,WHITE NON HISPANIC,Ryan
2016,MALE,HISPANIC,Dylan
2012,FEMALE,WHITE NON HISP,QUINN
2017,FEMALE,BLACK NON HISPANIC,Ariel
2012,FEMALE,WHITE NON HISP,ARIEL
2016,FEMALE,HISPANIC,Skyler
2015,MALE,WHITE NON HISPANIC,Dylan
2012,MALE,ASIAN AND PACI,RYAN
2017,MALE,WHITE NON HISPANIC,Finley
2015,MALE,HISPANIC,Dylan
2017,MALE,BLACK NON HISPANIC,Ryan
2013,MALE,WHITE NON HISPANIC,Blake
2011,MALE,HISPANIC,RYAN
2013,MALE,HISPANIC,Jordan
2012,FEMALE,WHITE NON HISP,ALEXIS
2011,MALE,HISPANIC,DYLAN
2017,MALE,WHITE NON HISPANIC,Logan
2014,MALE,ASIAN AND PACIFIC ISLANDER,Logan
2015,FEMALE,WHITE NON HISPANIC,Logan
2014,MALE,HISPANIC,Dylan
2013,MALE,BLACK NON HISPANIC,Dylan
2014,FEMALE,WHITE NON HISPANIC,Parker
2013,MALE,WHITE NON HISPANIC,Logan
2012,FEMALE,WHITE NON HISP,JORDAN
2014,MALE,HISPANIC,Ryan
2013,MALE,WHITE NON HISPANIC,Logan
2013,MALE,HISPANIC,Ryan
2016,MALE,BLACK NON HISPANIC,Dylan
2017,MALE,HISPANIC,Logan
2016,MALE,ASIAN AND PACIFIC ISLANDER,Ryan
2015,FEMALE,WHITE NON HISPANIC,Dylan
2013,MALE,WHITE NON HISPANIC,Ryan
2015,MALE,ASIAN AND PACIFIC ISLANDER,Dylan
2013,MALE,BLACK NON HISPANIC,Cameron
2016,FEMALE,HISPANIC,Riley
2017,MALE,ASIAN AND PACIFIC ISLANDER,Ryan
2015,MALE,HISPANIC,Angel
2011,MALE,WHITE NON HISPANIC,CHARLIE
2013,MALE,ASIAN AND PACIFIC ISLANDER,Ryan
2014,MALE,WHITE NON HISPANIC,Ryan
2014,MALE,WHITE NON HISPANIC,Parker
2016,MALE,HISPANIC,Dylan
2013,FEMALE,BLACK NON HISPANIC,Phoenix
2016,MALE,WHITE NON HISPANIC,Ariel
2012,FEMALE,BLACK NON HISP,TAYLOR
2013,MALE,WHITE NON HISPANIC,Ryan
2014,MALE,BLACK NON HISPANIC,Angel
2016,MALE,ASIAN AND PACIFIC ISLANDER,Ryan
2014,MALE,BLACK NON HISPANIC,Avery
2013,MALE,HISPANIC,Jordan
2012,MALE,WHITE NON HISP,QUINN
2014,MALE,BLACK NON HISPANIC,Ryan
2016,MALE,HISPANIC,Logan
2013,MALE,HISPANIC,Jordan
2012,MALE,ASIAN AND PACI,RYAN
2014,FEMALE,WHITE NON HISPANIC,Emerson
2013,MALE,HISPANIC,Dylan
2011,FEMALE,BLACK NON HISPANIC,ARIEL
2012,MALE,HISPANIC,AVERY
2012,FEMALE,WHITE NON HISP,YAEL
2017,MALE,HISPANIC,Dylan
2013,MALE,HISPANIC,Angel
2016,MALE,HISPANIC,Ryan
2016,MALE,ASIAN AND PACIFIC ISLANDER,Ryan
2013,MALE,BLACK NON HISPANIC,Ryan
2011,MALE,HISPANIC,ANGEL
2014,MALE,BLACK NON HISPANIC,Avery
2012,MALE,HISPANIC,DYLAN
2017,MALE,WHITE NON HISPANIC,Ryan
2013,FEMALE,BLACK NON HISPANIC,Riley
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,TENZIN
2017,FEMALE,WHITE NON HISPANIC,Rowan
2017,MALE,WHITE NON HISPANIC,Dylan
2012,MALE,WHITE NON HISP,RYAN
2013,FEMALE,HISPANIC,Ariel
2014,MALE,HISPANIC,Alexis
2011,MALE,ASIAN AND PACIFIC ISLANDER,RYAN
2017,FEMALE,HISPANIC,Avery
2012,MALE,ASIAN AND PACI,RYAN
2016,MALE,WHITE NON HISPANIC,Dylan
2016,MALE,BLACK NON HISPANIC,Cameron
2014,MALE,HISPANIC,Dylan
2013,MALE,HISPANIC,Dylan
2015,MALE,BLACK NON HISPANIC,Ryan
2014,MALE,WHITE NON HISPANIC,Logan
2011,MALE,ASIAN AND PACIFIC ISLANDER,DYLAN
2011,MALE,HISPANIC,CAMERON
2012,MALE,HISPANIC,JORDAN
2012,MALE,HISPANIC,ALEXIS
2014,MALE,WHITE NON HISPANIC,Logan
2014,MALE,WHITE NON HISPANIC,Dylan
2015,MALE,WHITE NON HISPANIC,Quinn
2012,MALE,WHITE NON HISP,DYLAN
2012,MALE,HISPANIC,CHARLIE
2013,MALE,HISPANIC,Jordan
2014,MALE,ASIAN AND PACIFIC ISLANDER,Ryan
2017,FEMALE,HISPANIC,Riley
2014,MALE,WHITE NON HISPANIC,Dylan
2012,MALE,BLACK NON HISP,JORDAN
2013,FEMALE,WHITE NON HISPANIC,Riley
2014,MALE,BLACK NON HISPANIC,Cameron
2014,MALE,HISPANIC,Ryan
2015,FEMALE,BLACK NON HISPANIC,Eden
2012,MALE,BLACK NON HISP,CAMERON
2011,MALE,ASIAN AND PACIFIC ISLANDER,RYAN
2015,MALE,ASIAN AND PACIFIC ISLANDER,Parker
2017,MALE,HISPANIC,Alexis
2013,MALE,HISPANIC,Dylan
2015,FEMALE,WHITE NON HISPANIC,Avery
2014,MALE,WHITE NON HISPANIC,Dylan
2014,MALE,HISPANIC,Milan
2014,FEMALE,WHITE NON HISPANIC,Alexis
2015,FEMALE,HISPANIC,Riley
2016,MALE,BLACK NON HISPANIC,Blake
2011,FEMALE,WHITE NON HISPANIC,AVERY
2012,FEMALE,BLACK NON HISP,ALEXIS
2014,FEMALE,WHITE NON HISPANIC,Taylor
2013,MALE,HISPANIC,Logan
2014,FEMALE,BLACK NON HISPANIC,Taylor
2012,FEMALE,ASIAN AND PACI,ARIEL
2013,MALE,HISPANIC,Dylan
2011,MALE,HISPANIC,RYAN
2016,MALE,WHITE NON HISPANIC,Dylan
2015,MALE,BLACK NON HISPANIC,Dylan
2011,MALE,ASIAN AND PACIFIC ISLANDER,JIA
2017,MALE,BLACK NON HISPANIC,Phoenix
2014,FEMALE,WHITE NON HISPANIC,Alexis
2012,MALE,HISPANIC,RYAN
2015,MALE,BLACK NON HISPANIC,Angel
2016,MALE,HISPANIC,Angel
2014,FEMALE,HISPANIC,Peyton
2011,MALE,HISPANIC,DYLAN
2015,MALE,ASIAN AND PACIFIC ISLANDER,Dylan
2011,MALE,HISPANIC,DYLAN
2012,MALE,BLACK NON HISP,JORDAN
2017,MALE,BLACK NON HISPANIC,Cameron
2016,FEMALE,HISPANIC,Skyler
2011,MALE,HISPANIC,ANGEL
2014,MALE,ASIAN AND PACIFIC ISLANDER,Ryan
2013,FEMALE,WHITE NON HISPANIC,Quinn
2015,MALE,WHITE NON HISPANIC,Phoenix
2013,MALE,ASIAN AND PACIFIC ISLANDER,Tenzin
2014,MALE,ASIAN AND PACIFIC ISLANDER,Ryan
2013,MALE,HISPANIC,Dylan
2014,MALE,ASIAN AND PACIFIC ISLANDER,Ryan
2014,MALE,HISPANIC,Dylan
2014,FEMALE,WHITE NON HISPANIC,Dylan
2013,MALE,BLACK NON HISPANIC,Jordan
2014,MALE,BLACK NON HISPANIC,Logan
2013,MALE,WHITE NON HISPANIC,Dylan
2011,MALE,BLACK NON HISPANIC,AVERY
2017,MALE,HISPANIC,Dylan
2014,MALE,HISPANIC,Logan
2014,FEMALE,HISPANIC,Jaylin
2013,FEMALE,BLACK NON HISPANIC,Ariel
2013,MALE,HISPANIC,Dylan
2011,MALE,HISPANIC,ANGEL
2017,MALE,BLACK NON HISPANIC,Jordan
2016,MALE,HISPANIC,Jordan
2017,MALE,HISPANIC,Logan
2012,MALE,ASIAN AND PACI,KAI
2016,MALE,HISPANIC,Dylan
2011,MALE,ASIAN AND PACIFIC ISLANDER,RYAN
2014,MALE,ASIAN AND PACIFIC ISLANDER,Dylan
2013,FEMALE,ASIAN AND PACIFIC ISLANDER,Tenzin
2013,FEMALE,WHITE NON HISPANIC,Alexis
2017,MALE,WHITE NON HISPANIC,Logan
2017,MALE,HISPANIC,Logan
2012,MALE,BLACK NON HISP,AVERY
2014,MALE,HISPANIC,Angel
2011,MALE,HISPANIC,ANGEL
2011,FEMALE,WHITE NON HISPANIC,RILEY
2011,MALE,WHITE NON HISPANIC,DYLAN
2017,FEMALE,WHITE NON HISPANIC,Cameron
2011,MALE,WHITE NON HISPANIC,RYAN
2014,MALE,BLACK NON HISPANIC,Avery
2016,FEMALE,WHITE NON HISPANIC,Avery
2011,MALE,HISPANIC,ANGEL
2016,MALE,WHITE NON HISPANIC,Cameron
2014,MALE,WHITE NON HISPANIC,Logan
2012,MALE,ASIAN AND PACI,RYAN
2014,MALE,HISPANIC,Dylan
2014,FEMALE,HISPANIC,Riley
2016,FEMALE,WHITE NON HISPANIC,Eden
2016,MALE,HISPANIC,Dylan
2013,MALE,WHITE NON HISPANIC,Dylan
2014,MALE,HISPANIC,Dylan
2013,FEMALE,WHITE NON HISPANIC,Riley
2016,MALE,ASIAN AND PACIFIC ISLANDER,Cameron
2012,MALE,BLACK NON HISP,DYLAN
2011,MALE,BLACK NON HISPANIC,AVERY
2013,MALE,HISPANIC,Dylan
2015,MALE,HISPANIC,Logan
2014,MALE,HISPANIC,Ryan
2013,MALE,ASIAN AND PACIFIC ISLANDER,Tenzin
2014,MALE,BLACK NON HISPANIC,Cameron
2016,MALE,ASIAN AND PACIFIC ISLANDER,Ryan
2013,MALE,HISPANIC,Angel
2017,MALE,ASIAN AND PACIFIC ISLANDER,Ryan
2011,FEMALE,WHITE NON HISPANIC,ALEXIS
2013,MALE,BLACK NON HISPANIC,Cameron
2014,MALE,HISPANIC,Riley
2017,MALE,BLACK NON HISPANIC,Cameron
2015,MALE,HISPANIC,Angel
2012,MALE,WHITE NON HISP,RYAN
2014,MALE,HISPANIC,Jordan
2012,MALE,HISPANIC,RYAN
2014,MALE,ASIAN AND PACIFIC ISLANDER,Ryan
2015,MALE,HISPANIC,Dylan
2014,FEMALE,BLACK NON HISPANIC,Ariel
2011,MALE,ASIAN AND PACIFIC ISLANDER,RYAN
2012,FEMALE,WHITE NON HISP,TAYLOR
2011,MALE,WHITE NON HISPANIC,DYLAN
2012,MALE,BLACK NON HISP,RILEY
2014,FEMALE,WHITE NON HISPANIC,Dylan
2016,FEMALE,WHITE NON HISPANIC,Blake
2011,MALE,BLACK NON HISPANIC,JORDAN
2014,MALE,WHITE NON HISPANIC,Dylan
2013,MALE,WHITE NON HISPANIC,Parker
2012,MALE,HISPANIC,JORDAN
2014,MALE,BLACK NON HISPANIC,Blake
2013,FEMALE,WHITE NON HISPANIC,Taylor
2014,FEMALE,WHITE NON HISPANIC,Ariel
2011,MALE,BLACK NON HISPANIC,JORDAN
2012,MALE,HISPANIC,DYLAN
2013,MALE,WHITE NON HISPANIC,Blake
2016,MALE,BLACK NON HISPANIC,Logan
2012,MALE,HISPANIC,JORDAN
2014,MALE,BLACK NON HISPANIC,Cameron
2016,MALE,HISPANIC,Dylan
2013,FEMALE,ASIAN AND PACIFIC ISLANDER,Angel
2017,FEMALE,BLACK NON HISPANIC,Avery
2012,MALE,BLACK NON HISP,RILEY
2013,MALE,HISPANIC,Dylan
2012,MALE,WHITE NON HISP,CAMERON
2014,MALE,HISPANIC,Logan
2015,FEMALE,WHITE NON HISPANIC,Riley
2015,MALE,HISPANIC,Angel
2013,MALE,BLACK NON HISPANIC,Cameron
2011,FEMALE,WHITE NON HISPANIC,YAEL
2011,MALE,HISPANIC,RYAN
2013,FEMALE,HISPANIC,Jaylin
2015,FEMALE,WHITE NON HISPANIC,Ryan
2013,FEMALE,WHITE NON HISPANIC,Taylor
2013,MALE,ASIAN AND PACIFIC ISLANDER,Dylan
2017,FEMALE,ASIAN AND PACIFIC ISLANDER,Riley
2011,MALE,BLACK NON HISPANIC,CAMERON
2013,MALE,ASIAN AND PACIFIC ISLANDER,Ryan
2011,MALE,WHITE NON HISPANIC,KAI
2015,FEMALE,ASIAN AND PACIFIC ISLANDER,Avery
2014,MALE,WHITE NON HISPANIC,Ryan
2014,FEMALE,BLACK NON HISPANIC,Riley
2011,MALE,HISPANIC,ALEXIS
2013,MALE,HISPANIC,Dylan
2012,MALE,HISPANIC,DYLAN
2013,FEMALE,HISPANIC,Jaylin
2014,FEMALE,BLACK NON HISPANIC,Avery
2012,MALE,HISPANIC,JORDAN
2011,MALE,HISPANIC,ANGEL
2014,MALE,WHITE NON HISPANIC,Blake
2015,MALE,WHITE NON HISPANIC,Blake
2015,MALE,HISPANIC,Dylan
2012,FEMALE,HISPANIC,AVERY
2014,MALE,ASIAN AND PACIFIC ISLANDER,Dylan
2014,FEMALE,WHITE NON HISPANIC,Avery
2013,MALE,HISPANIC,Jordan
2011,FEMALE,BLACK NON HISPANIC,ALEXIS
2016,MALE,WHITE NON HISPANIC,Logan
2013,MALE,BLACK NON HISPANIC,Peyton
